season,team,incident,type,min
19/20,Brighton & Hove Albion,"Brighton goal for Leandro Trossard ruled out for offside by Dan Burn, who created the goal",AGAINST,27
19/20,Brighton & Hove Albion,Conor Hourihane goal ruled out for a foul by Wesley on Mat Ryan,FOR,42
19/20,Brighton & Hove Albion,Penalty awarded (scored by Neil Maupay) for foul on Aaron Connolly by Michael Keane,FOR,78
19/20,Brighton & Hove Albion,Jamie Vardy penalty retaken after James Maddison scored the rebound with encroachment,FOR,80
19/20,Brighton & Hove Albion,David Luiz goal disallowed for offside,FOR,63
19/20,Brighton & Hove Albion,John Egan goal ruled out for handball,FOR,8
19/20,Brighton & Hove Albion,Jack O'Connell goal disallowed for offside,FOR,54
19/20,Brighton & Hove Albion,Harry Kane goal ruled out for offside,FOR,24
19/20,Brighton & Hove Albion,Dan Burn goal ruled out for offside,AGAINST,58
19/20,Brighton & Hove Albion,Goal for Dominic Calvert-Lewin ruled out for handball,FOR,75
19/20,Brighton & Hove Albion,Goal for Glenn Murray allowed after incorrect handball,FOR,79
19/20,Brighton & Hove Albion,Jay Rodriguez goal ruled out for offside against Johann Berg Gudmundsson,FOR,57
19/20,Manchester United,"Pierre-Emerick Aubameyang goal, originally ruled out for offside, overturned on review",AGAINST,58
19/20,Manchester United,Sadio Mane goal ruled out for handball,FOR,43
19/20,Manchester United,Penalty awarded (missed by Marcus Rashford) for foul on Daniel James by Ben Godfrey,FOR,25
19/20,Manchester United,Penalty awarded (missed by Anthony Martial) for handball by Todd Cantwell,FOR,41
19/20,Manchester United,Penalty awarded (scored by Marcus Rashford) for foul on Rashford by Bernardo Silva,FOR,23
19/20,Manchester United,Roberto Firmino goal disallowed for foul on David De Gea by Virgil van Dijk,FOR,25
19/20,Manchester United,Kurt Zouma goal disallowed for foul on Brandon Williams by Cesar Azpilicueta,FOR,55
19/20,Manchester United,Olivier Giroud goal disallowed for offside,FOR,77
19/20,Manchester United,Goal for Troy Deeney disallowed for handball by Craig Dawson,FOR,52
19/20,Manchester United,Goal for Everton disallowed for offside against Gylfi Sigurdsson in front of David De Gea,FOR,92
19/20,Manchester United,Penalty awarded for a foul on Bruno Fernandes overturned,AGAINST,91
19/20,Manchester United,Jordan Ayew goal disallowed for offside,FOR,55
19/20,Manchester United,Penalty awarded for a handball by Paul Pogba (scored by Michael Antonio),AGAINST,45
19/20,Crystal Palace,Jordan Ayew goal awarded after originally being ruled out for offside,FOR,87
19/20,Crystal Palace,Penalty awarded for foul by Calum Chambers on Wilfried Zaha (initially booked for diving),FOR,32
19/20,Crystal Palace,Sokratis goal disallowed for foul by Calum Chambers,FOR,83
19/20,Crystal Palace,James Tomkins goal ruled out for push by Jordan Ayew,AGAINST,43
19/20,Crystal Palace,Goal for Max Meyer ruled out for offside by Wilfried Zaha in the build-up,AGAINST,15
19/20,Crystal Palace,Connor Wickham goal awarded after originally being ruled out for offside,FOR,85
19/20,Crystal Palace,Pierre-Emerick Aubameyang sent off for foul on Max Meyer,FOR,65
19/20,Crystal Palace,Penalty for handball against Jairo Riedewald cancelled,FOR,72
19/20,Crystal Palace,Red card for Joel Ward rescinded,FOR,74
19/20,Crystal Palace,Mamadou Sakho goal ruled out for handball,AGAINST,7
19/20,Crystal Palace,"Penalty cancelled, awarded for foul on Jack Grealish by Patrick van Aanholt",FOR,47
19/20,Crystal Palace,Jordan Ayew goal disallowed for offside,AGAINST,55
19/20,Burnley,"Goal for Villa's John McGinn ruled out on review, Conor Hourihane offside in build-up",FOR,25
19/20,Burnley,Jonny Evans own goal ruled out due to a foul by Chris Wood,AGAINST,80
19/20,Burnley,Penalty overturned for diving by Callum Hudson-Odoi,FOR,76
19/20,Burnley,Chris Wood goal disallowed for offside,AGAINST,36
19/20,Burnley,Penalty (scored by Barnes) awarded for foul on Ashley Barnes by Jose Holebas,FOR,80
19/20,Burnley,"Goal for Villa's Jack Grealish ruled out on review, Wesley offside in build-up",FOR,11
19/20,Burnley,Goal for Josh King ruled out for handball in build-up by Philip Billing,FOR,22
19/20,Burnley,"Goal for Harry Wilson ruled out for handball by Bournemouth's Adam Smith, penalty awarded and scored by Jay Rodriguez",FOR,57
19/20,Burnley,Penalty given (scored by Riyad Mahrez) for a foul by Ben Mee on Sergio Aguero,AGAINST,45
19/20,Burnley,Red card for Emiliano Buendia for an elbow on Ashley Westwood,FOR,33
19/20,Burnley,Jay Rodriguez goal ruled out for offside against Johann Berg Gudmundsson,AGAINST,57
19/20,Newcastle,"Jonjo Shelvey goal, originally ruled out for offside, cleared by the VAR",FOR,70
19/20,Newcastle,Moussa Djenepo sent off for challenge on Isaac Hayden,FOR,28
19/20,Newcastle,Penalty awarded for handball by Sofiane Boufal,FOR,40
19/20,Southampton,Oliver McBurnie's goal disallowed for offside,FOR,52
